,AirportTo,Delay
0,ABE,305
1,ABI,211
2,ABQ,2800
3,ABR,2
4,ABY,87
5,ACT,59
6,ACV,295
7,ACY,62
8,ADK,9
9,ADQ,56
10,AEX,284
11,AGS,322
12,ALB,940
13,AMA,482
14,ANC,1311
15,ASE,461
16,ATL,34440
17,ATW,371
18,AUS,3655
19,AVL,427
20,AVP,208
21,AZO,241
22,BDL,2281
23,BET,84
24,BFL,275
25,BGM,74
26,BGR,32
27,BHM,1778
28,BIL,306
29,BIS,324
30,BKG,60
31,BLI,26
32,BMI,405
33,BNA,4300
34,BOI,1208
35,BOS,9429
36,BQK,87
37,BQN,138
38,BRO,207
39,BRW,68
40,BTM,60
41,BTR,738
42,BTV,523
43,BUF,1970
44,BUR,2146
45,BWI,8557
46,BZN,357
47,CAE,687
48,CAK,746
49,CDC,54
50,CDV,57
51,CEC,89
52,CHA,363
53,CHO,87
54,CHS,1001
55,CIC,120
56,CID,477
57,CLD,163
58,CLE,4730
59,CLL,31
60,CLT,11132
61,CMH,2652
62,CMI,179
63,CMX,62
64,COD,93
65,COS,1029
66,COU,89
67,CPR,176
68,CRP,689
69,CRW,390
70,CSG,179
71,CVG,4713
72,CWA,141
73,CYS,31
74,DAB,135
75,DAL,3835
76,DAY,1244
77,DBQ,27
78,DCA,7068
79,DEN,19848
80,DFW,22153
81,DHN,118
82,DLH,223
83,DRO,291
84,DSM,1050
85,DTW,13146
86,EAU,89
87,ECP,580
88,EGE,262
89,EKO,116
90,ELM,104
91,ELP,1818
92,ERI,74
93,EUG,418
94,EVV,348
95,EWN,74
96,EWR,9670
97,EYW,126
98,FAI,329
99,FAR,489
100,FAT,971
101,FAY,338
102,FCA,161
103,FLG,219
104,FLL,5812
105,FLO,18
106,FNT,431
107,FSD,520
108,FSM,162
109,FWA,448
110,GCC,124
111,GEG,1059
112,GFK,206
113,GGG,31
114,GJT,470
115,GNV,194
116,GPT,501
117,GRB,532
118,GRK,267
119,GRR,1010
120,GSO,872
121,GSP,791
122,GTF,147
123,GTR,61
124,GUC,95
125,GUM,10
126,HDN,158
127,HLN,145
128,HNL,4453
129,HOU,4419
130,HPN,815
131,HRL,412
132,HSV,876
133,HTS,57
134,IAD,6565
135,IAH,15819
136,ICT,979
137,IDA,220
138,ILM,317
139,IND,3167
140,IPL,62
141,ISP,631
142,ITH,75
143,ITO,604
144,IYK,86
145,JAC,252
146,JAN,985
147,JAX,2739
148,JFK,9490
149,JNU,296
150,KOA,1001
151,KTN,178
152,LAN,262
153,LAS,11918
154,LAX,16656
155,LBB,623
156,LCH,89
157,LEX,801
158,LFT,433
159,LGA,8549
160,LGB,1126
161,LIH,936
162,LIT,1572
163,LMT,93
164,LNK,205
165,LRD,224
166,LSE,135
167,LWB,62
168,LWS,57
169,LYH,59
170,MAF,587
171,MBS,309
172,MCI,4250
173,MCO,10605
174,MDT,535
175,MDW,7102
176,MEI,58
177,MEM,6450
178,MFE,380
179,MFR,361
180,MGM,388
181,MHK,123
182,MHT,1067
183,MIA,6720
184,MKE,4070
185,MKG,67
186,MLB,138
187,MLI,447
188,MLU,172
189,MMH,16
190,MOB,562
191,MOD,144
192,MOT,164
193,MQT,106
194,MRY,451
195,MSN,801
196,MSO,283
197,MSP,10181
198,MSY,3401
199,MTJ,183
200,MYR,280
201,OAJ,135
202,OAK,3781
203,OGG,1803
204,OKC,1908
205,OMA,1971
206,OME,90
207,ONT,1943
208,ORD,24871
209,ORF,1418
210,OTH,93
211,OTZ,90
212,PAH,62
213,PBI,2388
214,PDX,4274
215,PHF,453
216,PHL,7478
217,PHX,15558
218,PIA,250
219,PIE,23
220,PIH,113
221,PIT,3270
222,PLN,32
223,PNS,829
224,PSC,278
225,PSE,62
226,PSG,59
227,PSP,1024
228,PVD,1539
229,PWM,516
230,RAP,422
231,RDD,120
232,RDM,271
233,RDU,4147
234,RIC,1554
235,RKS,155
236,RNO,1709
237,ROA,292
238,ROC,1185
239,ROW,87
240,RST,166
241,RSW,2719
242,SAF,92
243,SAN,6372
244,SAT,3267
245,SAV,779
246,SBA,827
247,SBN,427
248,SBP,407
249,SCC,56
250,SCE,87
251,SDF,1408
252,SEA,8042
253,SFO,11792
254,SGF,623
255,SGU,192
256,SHV,397
257,SIT,88
258,SJC,3357
259,SJT,15
260,SJU,1903
261,SLC,10486
262,SMF,3473
263,SMX,120
264,SNA,3535
265,SPI,174
266,SPS,46
267,SRQ,514
268,STL,5034
269,STT,245
270,STX,45
271,SUN,193
272,SWF,181
273,SYR,918
274,TEX,27
275,TLH,432
276,TOL,27
277,TPA,6086
278,TRI,313
279,TUL,1656
280,TUS,1862
281,TVC,275
282,TWF,120
283,TXK,77
284,TYR,60
285,TYS,1192
286,UTM,18
287,VLD,87
288,VPS,633
289,WRG,59
290,XNA,1123
291,YAK,57
292,YUM,338
